1	tatanggapin	tanggap	VB	COOF	_|in|_|ta	0	_
5	kurutan	kurutan	NN	CP	_|_|_|_	3	_
6	at	at	CC	CCA	_|_|_|_	5	_
7	halakhakan	halakhak	NN	CP	_|_|an|_	6	_
8	ay	ay	LM	LM	_|_|_|_	0	_
9	nagiging	naging	VB	IMAF	_|_|_|gi	8	_
10	sanhi	sanhi	NN	CP	_|_|_|_	9	_
11	ng	ng	CC	CCB	_|_|_|_	10	_
12	pagsasaway	saway	NN	CP	pag|_|_|sa	11	_
13	ni	ni	DT	PDSG	_|_|_|_	15	_
14	tiya	tiya	NN	NNP	_|_|_|_	15	_
15	isabel	isabel	NN	NNP	_|_|_|_	12	_
16	.	.	PM	PMP	_|_|_|_	15	_

1	bubulahawin	bulahaw	VB	COOF	_|in|_|bu	0	_
2	ninyo	ninyo	PR	PRPL	_|_|_|_	1	_
3	ang	ang	DT	CD	_|_|_|_	5	_
4	mga	mga	DT	CDPL	_|_|_|_	5	_
5	taong	taon	NN	CP	_|_|g|_	1	_
6	natutulog	tulog	VB	IMAF	na|_|_|tu	1	_
7	pa	pa	RB	RI	_|_|_|_	6	_
8	.	.	PM	PMP	_|_|_|_	7	_

1	hindi	hindi	RB	RF	_|_|_|_	2	_
2	kami	kami	PR	PRPL	_|_|_|_	0	_
3	ganyan	ganyan	PR	CM	_|_|_|_	4	_
4	kaingay	ingay	JJ	JCJD	ka|_|_|_	2	_
5	noon	noon	RB	RW	_|_|_|_	4	_
6	.	.	PM	PMP	_|_|_|_	5	_

1	tumigil	tigil	VB	INAF	_|um|_|_	0	_
2	sila	sila	PR	PRPL	_|_|_|_	1	_
3	sandali	sandali	RB	RW	_|_|_|_	1	_
4	sa	sa	CC	CCT	_|_|_|_	5	_
5	pag-uusap	usap	NN	CP	pag|_|_|u	1	_
6	.	.	PM	PMP	_|_|_|_	5	_

1	nagbulungan	bulong	VB	PFAF	nag|_|an|_	0	_
2	at	at	CC	CCA	_|_|_|_	1	_
3	pagkatapos	tapos	RB	RW	pagka|_|_|_	4	_
4	ay	ay	LM	LM	_|_|_|_	2	_
5	nagtawanan	tawa	RB	RD	nag|_|nan|_	4	_
6	nang	nang	RB	RD	_|_|_|_	5	_
7	malakas	lakas	RB	RD	ma|_|_|_	5	_
8	.	.	PM	PMP	_|_|_|_	7	_

1	huwag	huwag	RB	RF	_|_|_|_	3	_
2	kayong	kayo	PR	PRPL	_|_|ng|_	1	_
3	maingay	ingay	JJ	JCJD	ma|_|_|_	0	_
4	at	at	CC	CCA	_|_|_|_	3	_
5	dumarating	dating	VB	IMAF	_|um|_|da	4	_
6	na	na	CC	CCP	_|_|_|_	7	_
7	sila	sila	PR	PRPL	_|_|_|_	5	_
8	.	.	PM	PMP	_|_|_|_	7	_

1	dumating	dating	VB	INAF	_|um|_|_	0	_
2	ang	ang	DT	CD	_|_|_|_	4	_
3	isang	isa	PR	PRI	_|_|ng|_	4	_
4	pangkat	pangkat	NN	CP	_|_|_|_	1	_
5	ng	ng	CC	CCB	_|_|_|_	4	_
6	mga	mga	DT	CDPL	_|_|_|_	7	_
7	kalalakihang	lalaki	NN	CP	ka|_|hang|_	5	_
8	may	may	VB	VH	_|_|_|_	7	_
9	hawak	hawak	NN	CP	_|_|_|_	8	_
10	na	na	CC	CCP	_|_|_|_	11	_
11	sulo	sulo	NN	CP	_|_|_|_	9	_
12	.	.	PM	PMP	_|_|_|_	11	_

1	bagama't	bagama't	CC	CCT	_|_|_|_	5	_
2	mga	mga	DT	CDPL	_|_|_|_	4	_
3	walang	wala	RB	RF	_|_|ng|_	4	_
4	imik	imik	JJ	JCJD	_|_|_|_	1	_
5	ay	ay	LM	LM	_|_|_|_	0	_
6	pumapailanlang	ilan	VB	IMAF	pa|um|lang|pa	5	_
7	ang	ang	DT	CD	_|_|_|_	8	_
8	himig	himig	NN	CP	_|_|_|_	6	_
9	ng	ng	CC	CCB	_|_|_|_	8	_
10	gitara	gitara	NN	CP	_|_|_|_	9	_
11	.	.	PM	PMP	_|_|_|_	10	_

1	nang	nang	RB	RW	_|_|_|_	2	_
2	magkita	kita	VB	INAF	mag|_|_|_	6	_
3	ang	ang	DT	CD	_|_|_|_	5	_
4	dalawang	dalawa	JJ	JN	_|_|ng|_	5	_
5	pangkat	pangkat	NN	CP	_|_|_|_	2	_
6	ay	ay	LM	LM	_|_|_|_	0	_
7	tumahimik	tahimik	VB	INAF	_|um|_|_	6	_
8	ang	ang	DT	CD	_|_|_|_	10	_
9	mga	mga	DT	CDPL	_|_|_|_	10	_
10	babae	babae	NN	CP	_|_|_|_	7	_
11	at	at	CC	CCA	_|_|_|_	7	_
12	naging	naging	VB	INOF	_|_|_|_	11	_
13	masalita	salita	JJ	JCJD	ma|_|_|_	12	_
14	naman	naman	RB	RI	_|_|_|_	13	_
15	ang	ang	DT	CD	_|_|_|_	17	_
16	mga	mga	DT	CDPL	_|_|_|_	17	_
17	lalaki	lalaki	NN	CP	_|_|_|_	12	_
18	.	.	PM	PMP	_|_|_|_	17	_

1	sa	sa	CC	CCT	_|_|_|_	2	_
2	palagay	palagay	NN	CP	_|_|_|_	5	_
3	kaya	kaya	RB	RI	_|_|_|_	2	_
4	ninyo	ninyo	PR	PRPL	_|_|_|_	2	_
5	ay	ay	LM	LM	_|_|_|_	0	_
6	magiging	maging	VB	COAF	_|_|_|gi	5	_
7	mabuti	buti	JJ	JCJD	ma|_|_|_	6	_
8	ang	ang	DT	CD	_|_|_|_	9	_
9	panahon	panahon	NN	CP	_|_|_|_	6	_
10	ngayon	ngayon	RB	RQ	_|_|_|_	6	_
11	?	?	PM	PMQ	_|_|_|_	10	_

1	naroon	roon	RB	RL	na|_|_|_	0	_
2	din	din	RB	RI	_|_|_|_	1	_
3	si	si	DT	PDSG	_|_|_|_	4	_
4	ibarra	ibarra	NN	NNP	_|_|_|_	1	_
5	na	na	CC	CCP	_|_|_|_	4	_
6	nakisama	sama	JJ	JCJD	naki|_|_|_	5	_
7	sa	sa	CC	CCT	_|_|_|_	8	_
8	katuwaan	tuwa	NN	CP	ka|_|an|_	6	_
9	.	.	PM	PMP	_|_|_|_	8	_

1	nasa	nasa	RB	RL	_|_|_|_	0	_
2	lawa	lawa	RB	RL	_|_|_|_	1	_
3	ang	ang	DT	CD	_|_|_|_	5	_
4	dalawang	dalawa	JJ	JN	_|_|ng|_	5	_
5	bangkang	bangka	NN	CP	_|_|ng|_	1	_
6	gagamitin	gamit	VB	COOF	_|in|_|ga	5	_
7	nila	nila	PR	PRPL	_|_|_|_	6	_
8	.	.	PM	PMP	_|_|_|_	7	_

1	ang	ang	DT	CD	_|_|_|_	3	_
2	mga	mga	DT	CDPL	_|_|_|_	3	_
3	ito	ito	PR	DM	_|_|_|_	4	_
4	ay	ay	LM	LM	_|_|_|_	0	_
5	nilagyan	lagyan	VB	PFOF	in|_|_|_	4	_
6	ng	ng	CC	CCB	_|_|_|_	7	_
7	dekorasyong	dekorasyon	NN	CP	_|_|g|_	5	_
8	bulaklak	bulaklak	NN	CP	_|_|_|_	7	_
9	,	,	PM	PMC	_|_|_|_	10	_
10	dahon	dahon	NN	CP	_|_|_|_	8	_
11	at	at	CC	CCA	_|_|_|_	10	_
12	tela	tela	NN	CP	_|_|_|_	11	_
13	na	na	CC	CCP	_|_|_|_	7	_
14	may	may	VB	VH	_|_|_|_	13	_
15	iba't	iba't	JJ	JCJD	_|_|_|_	16	_
16	ibang	ibang	JJ	JCJD	_|_|_|_	17	_
17	kulay	kulay	NN	CP	_|_|_|_	14	_
18	.	.	PM	PMP	_|_|_|_	17	_

1	sa	sa	CC	CCT	_|_|_|_	3	_
2	isang	isa	PR	PRI	_|_|ng|_	3	_
3	bangka	bangka	NN	CP	_|_|_|_	5	_
4	naman	naman	RB	RI	_|_|_|_	5	_
5	ay	ay	LM	LM	_|_|_|_	0	_
6	may	may	VB	VH	_|_|_|_	5	_
7	kalang	kalan	NN	CP	_|_|g|_	6	_
8	may	may	VB	VH	_|_|_|_	7	_
9	gatong	gatong	NN	CP	_|_|_|_	8	_
10	.	.	PM	PMP	_|_|_|_	9	_

1	mayroon	mayroon	VB	VH	_|_|_|_	0	_
2	ding	ding	RB	RI	_|_|_|_	1	_
3	tsaa	tsaa	NN	CP	_|_|_|_	1	_
4	,	,	PM	PMC	_|_|_|_	5	_
5	salabat	salabat	NN	CP	_|_|_|_	3	_
6	at	at	CC	CCA	_|_|_|_	5	_
7	kape	kape	NN	CP	_|_|_|_	6	_
8	.	.	PM	PMP	_|_|_|_	7	_

1	tumahimik	tahimik	VB	INAF	_|um|_|_	0	_
2	kayo	kayo	PR	PRPL	_|_|_|_	1	_
3	at	at	CC	CCA	_|_|_|_	2	_
4	baka	baka	RB	RM	_|_|_|_	3	_
5	lumubog	lubog	VB	INAF	_|um|_|_	4	_
6	ang	ang	DT	CD	_|_|_|_	7	_
7	bangka	bangka	NN	CP	_|_|_|_	5	_
8	!	!	PM	PME	_|_|_|_	7	_

1	ang	ang	DT	CD	_|_|_|_	2	_
2	sanhi	sanhi	NN	CP	_|_|_|_	7	_
3	ng	ng	CC	CCB	_|_|_|_	2	_
4	pag-aray	aray	NN	CP	pag|_|_|_	3	_
5	ni	ni	DT	PDSG	_|_|_|_	6	_
6	sinang	sinang	NN	NNP	_|_|_|_	4	_
7	ay	ay	LM	LM	_|_|_|_	0	_
8	isang	isa	PR	PRI	_|_|ng|_	9	_
9	kurot	kurot	NN	CP	_|_|_|_	7	_
10	mula	mula	RB	RL	_|_|_|_	9	_
11	sa	sa	RB	RL	_|_|_|_	13	_
12	kanyang	kanya	PR	POSG	_|_|ng|_	13	_
13	ina	ina	NN	CP	_|_|_|_	10	_
14	.	.	PM	PMP	_|_|_|_	13	_

1	unti-unti	unti-unti	RB	RD	_|_|_|_	4	_
2	na	na	RB	RI	_|_|_|_	1	_
3	ring	rin	RB	RI	_|_|g|_	2	_
4	nababanaag	banaag	RB	RD	na|_|_|ba	0	_
5	ang	ang	DT	CD	_|_|_|_	6	_
6	liwanag	liwanag	NN	CP	_|_|_|_	4	_
7	sa	sa	RB	RL	_|_|_|_	9	_
8	dakong	dako	RB	RL	_|_|ng|_	9	_
9	silangan	silangan	NN	CP	_|_|_|_	6	_
10	.	.	PM	PMP	_|_|_|_	9	_

1	maya-maya'y	maya-maya'y	RB	RW	_|_|_|_	2	_
2	sumigaw	sigaw	VB	INAF	_|um|_|_	0	_
3	si	si	DT	PDSG	_|_|_|_	4	_
4	albino	albino	NN	NNP	_|_|_|_	2	_
5	sa	sa	CC	CCT	_|_|_|_	8	_
6	kalapit	lapit	JJ	JCJD	ka|_|_|_	8	_
7	na	na	CC	CCP	_|_|_|_	6	_
8	binata	binata	NN	CP	_|_|_|_	2	_
9	.	.	PM	PMP	_|_|_|_	8	_

1	tapakan	tapak	VB	INOF	_|_|an|_	0	_
2	mo	mo	PR	PRSG	_|_|_|_	1	_
3	ang	ang	DT	CD	_|_|_|_	4	_
4	pasak	pasak	NN	CP	_|_|_|_	1	_
5	sa	sa	RB	RL	_|_|_|_	6	_
6	tapat	tapat	RB	RL	_|_|_|_	1	_
7	ng	ng	CC	CCB	_|_|_|_	6	_
8	paa	paa	NN	CP	_|_|_|_	7	_
9	mo	mo	PR	PRSG	_|_|_|_	8	_
10	.	.	PM	PMP	_|_|_|_	9	_

1	sumisigaw	sigaw	VB	IMAF	_|um|_|si	0	_
2	ang	ang	DT	CD	_|_|_|_	3	_
3	iba	iba	PR	PRI	_|_|_|_	1	_
4	at	at	CC	CCA	_|_|_|_	1	_
5	ang	ang	DT	CD	_|_|_|_	6	_
6	iba	iba	PR	PRI	_|_|_|_	8	_
7	nama	nama	RB	RI	_|_|_|_	6	_
8	'y	'y	LM	LM	_|_|_|_	4	_
9	ibig	ibig	VB	AS	_|_|_|_	11	_
10	nang	nang	RB	RW	_|_|_|_	9	_
11	lumundag	lundag	VB	INAF	_|um|_|_	8	_
12	sa	sa	CC	CCT	_|_|_|_	13	_
13	tubig	tubig	NN	CP	_|_|_|_	11	_
14	.	.	PM	PMP	_|_|_|_	13	_

1	lumipat	lipat	VB	INAF	_|um|_|_	0	_
2	ang	ang	DT	CD	_|_|_|_	3	_
3	limang	lima	CD	CDB	_|_|ng|_	4	_
4	lalaki	lalaki	NN	CP	_|_|_|_	1	_
5	sa	sa	CC	CCT	_|_|_|_	7	_
6	nasabing	sabi	JJ	JCJD	na|_|ng|_	7	_
7	bangka	bangka	NN	CP	_|_|_|_	1	_
8	upang	upang	CC	CCB	_|_|_|_	1	_
9	payapain	payapa	VB	INOF	_|_|in|_	8	_
10	ang	ang	DT	CD	_|_|_|_	12	_
11	mga	mga	DT	CDPL	_|_|_|_	12	_
12	natatakot	takot	JJ	JCJD	na|_|_|ta	15	_
13	na	na	CC	CCP	_|_|_|_	12	_
14	mga	mga	DT	CDPL	_|_|_|_	15	_
15	ina	ina	NN	CP	_|_|_|_	9	_
16	.	.	PM	PMP	_|_|_|_	15	_

1	naupo	upo	JJ	JCJD	na|_|_|_	0	_
2	sa	sa	RB	RL	_|_|_|_	3	_
3	tabi	tabi	RB	RL	_|_|_|_	1	_
4	ni	ni	DT	PDSG	_|_|_|_	3	_
5	maria	maria	NN	NNP	_|_|_|_	4	_
6	clara	clara	NN	NNP	_|_|_|_	5	_
7	si	si	DT	PDSG	_|_|_|_	8	_
8	ibarra	ibarra	NN	NNP	_|_|_|_	1	_
9	.	.	PM	PMP	_|_|_|_	8	_

1	si	si	DT	PDSG	_|_|_|_	2	_
2	albino	albino	NN	NNP	_|_|_|_	4	_
3	naman	naman	RB	RI	_|_|_|_	2	_
4	ay	ay	LM	LM	_|_|_|_	0	_
5	sa	sa	RB	RL	_|_|_|_	6	_
6	tabi	tabi	RB	RL	_|_|_|_	4	_
7	ni	ni	DT	PDSG	_|_|_|_	6	_
8	victoria	victoria	NN	NNP	_|_|_|_	7	_
9	at	at	CC	CCA	_|_|_|_	4	_
10	ang	ang	DT	CD	_|_|_|_	11	_
11	iba	iba	PR	PRI	_|_|_|_	12	_
12	ay	ay	LM	LM	_|_|_|_	9	_
13	sa	sa	RB	RL	_|_|_|_	14	_
14	tabi	tabi	RB	RL	_|_|_|_	12	_
15	ng	ng	CC	CCB	_|_|_|_	14	_
16	kanilang	kanila	PR	POPL	_|_|ng|_	17	_
17	nililigawan	nililigawan	VB	IMOF	_|_|_|_	15	_
18	.	.	PM	PMP	_|_|_|_	17	_

1	masasaya	saya	JJ	JCJD	ma|_|_|sa	3	_
2	ang	ang	DT	CD	_|_|_|_	3	_
3	usapan	usap	NN	CP	_|_|an|_	0	_
4	ng	ng	CC	CCB	_|_|_|_	3	_
5	mga	mga	DT	CDPL	_|_|_|_	6	_
6	dalaga	dalaga	NN	CP	_|_|_|_	4	_
7	habang	habang	RB	RW	_|_|_|_	3	_
8	ang	ang	DT	CD	_|_|_|_	10	_
9	mga	mga	DT	CDPL	_|_|_|_	10	_
10	ina	ina	NN	CP	_|_|_|_	12	_
11	naman	naman	RB	RI	_|_|_|_	10	_
12	ay	ay	LM	LM	_|_|_|_	7	_
13	walang	wala	RB	RF	_|_|ng|_	14	_
14	imikan	imik	JJ	JCJD	_|_|an|_	12	_
15	.	.	PM	PMP	_|_|_|_	14	_

1	ang	ang	DT	CD	_|_|_|_	7	_
2	mga	mga	DT	CDPL	_|_|_|_	4	_
3	dati-rating	dati-rati	JJ	JCJD	_|_|ng|_	4	_
4	walang	wala	RB	RF	_|_|ng|_	5	_
5	kibong	kibo	JJ	JCJD	_|_|ng|_	7	_
6	mga	mga	DT	CDPL	_|_|_|_	7	_
7	ina	ina	NN	CP	_|_|_|_	8	_
8	ay	ay	LM	LM	_|_|_|_	0	_
9	nagtatawanan	tawa	VB	IMAF	nag|_|nan|ta	8	_
10	na	na	RB	RI	_|_|_|_	9	_
11	rin	rin	RB	RI	_|_|_|_	10	_
12	at	at	CC	CCA	_|_|_|_	9	_
13	nagbibiruan	biro	VB	IMAF	na|_|an|bi	12	_
14	.	.	PM	PMP	_|_|_|_	13	_

1	kapansin-pansin	kapansin-pansin	JJ	JCJD	_|_|_|_	0	_
2	ang	ang	DT	CD	_|_|_|_	4	_
3	isang	isa	PR	PRI	_|_|ng|_	4	_
4	lalaking	laki	NN	CP	_|_|ng|la	1	_
5	ayaw	ayaw	RB	RF	_|_|_|_	6	_
6	makilahok	lahok	VB	INOF	maki|_|_|_	4	_
7	sa	sa	CC	CCT	_|_|_|_	8	_
8	kasayahang	kasayahang	NN	CP	_|_|_|_	6	_
9	yaon	yaon	PR	DM	_|_|_|_	8	_
10	.	.	PM	PMP	_|_|_|_	9	_

1	pagkaalmusal	almusal	RB	RW	pagka|_|_|_	2	_
2	ay	ay	LM	LM	_|_|_|_	0	_
3	patuloy	patuloy	RB	RD	_|_|_|_	2	_
4	pa	pa	RB	RI	_|_|_|_	3	_
5	rin	rin	RB	RI	_|_|_|_	4	_
6	sila	sila	PR	PRPL	_|_|_|_	3	_
7	sa	sa	CC	CCT	_|_|_|_	8	_
8	pamamangka	pamamangka	NN	CP	_|_|_|_	3	_
9	hanggang	hanggang	RB	RW	_|_|_|_	3	_
10	makarating	rating	VB	INAF	maka|_|_|_	9	_
11	sa	sa	CC	CCT	_|_|_|_	12	_
12	baklad	baklad	NN	CP	_|_|_|_	10	_
13	na	na	CC	CCP	_|_|_|_	12	_
14	pag-aari	ari	NN	CP	pag|_|_|a	13	_
15	ni	ni	DT	PDSG	_|_|_|_	17	_
16	kapitan	kapitan	NN	NNP	_|_|_|_	17	_
17	tiyago	tiyago	NN	NNP	_|_|_|_	14	_
18	.	.	PM	PMP	_|_|_|_	17	_

1	itinali	tali	VB	PFOF	i|in|_|_	0	_
2	ang	ang	DT	CD	_|_|_|_	3	_
3	bangka	bangka	NN	CP	_|_|_|_	1	_
4	sa	sa	CC	CCT	_|_|_|_	6	_
5	isang	isa	PR	PRI	_|_|ng|_	6	_
6	tulos	tulos	NN	CP	_|_|_|_	1	_
7	.	.	PM	PMP	_|_|_|_	6	_

1	inihanda	handa	VB	PFOF	ini|_|_|_	0	_
2	agad	agad	RB	RW	_|_|_|_	1	_
3	ng	ng	CC	CCB	_|_|_|_	4	_
4	magandang	ganda	JJ	JCJD	ma|_|ng|_	6	_
5	si	si	DT	PDSG	_|_|_|_	6	_
6	andeng	andeng	NN	NNP	_|_|_|_	1	_
7	ang	ang	DT	CD	_|_|_|_	8	_
8	sabaw-sinaing	sabaw-sinaing	NN	CP	_|_|_|_	1	_
9	,	,	PM	PMC	_|_|_|_	10	_
10	kamatis	kamatis	NN	CP	_|_|_|_	8	_
11	at	at	CC	CCA	_|_|_|_	10	_
12	kamyas	kamyas	NN	CP	_|_|_|_	11	_
13	.	.	PM	PMP	_|_|_|_	12	_

1	tinulungan	tulong	VB	PFOF	_|in|an|_	0	_
2	siya	siya	PR	PRSG	_|_|_|_	1	_
3	ng	ng	CC	CCB	_|_|_|_	5	_
4	ilang	ilang	PR	QISG	_|_|_|_	5	_
5	binatang	binata	NN	CP	_|_|ng|_	1	_
6	nanliligaw	ligaw	VB	IMAF	nan|_|_|li	5	_
7	sa	sa	CC	CCT	_|_|_|_	8	_
8	kanya	kanya	PR	POSG	_|_|_|_	6	_
9	.	.	PM	PMP	_|_|_|_	8	_

1	samantala	samantala	CC	CCT	_|_|_|_	3	_
2	,	,	PM	PMC	_|_|_|_	3	_
3	hinawakan	hawak	VB	PFOF	_|in|an|_	0	_
4	ni	ni	DT	PDSG	_|_|_|_	5	_
5	iday	iday	NN	NNP	_|_|_|_	3	_
6	ang	ang	DT	CD	_|_|_|_	7	_
7	alpa	alpa	NN	CP	_|_|_|_	3	_
8	at	at	CC	CCA	_|_|_|_	7	_
9	anyong	anyo	RB	RD	_|_|ng|_	10	_
10	tutugtog	tugtog	RB	RD	_|_|_|tu	8	_
11	upang	upang	CC	CCB	_|_|_|_	3	_
